"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"06450599999","2010-06-15T07:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0021,1","05100,1,C,N","008000,1,N,1","+0140,1","+0110,1","99999,9","07,5,+05100,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET059METAR EBWM 150725Z 04004KT 8000 BKN170 14/11 Q1021 BLU BLU;",
"06450599999","2010-06-15T08:29:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","030,1,N,0021,1","05100,1,C,N","008000,1,N,1","+0140,1","+0110,1","99999,9","02,5,+00420,1,99,9","07,5,+05100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET076METAR EBWM 150829Z 03004KT 8000 FEW014 BKN170 14/11 Q1021 BLU BLU TEMPO GRN;",
"06450599999","2010-06-15T08:31:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","020,1,N,0015,1","05100,1,C,N","008000,1,N,1","+0140,1","+0110,1","99999,9","02,5,+00420,1,99,9","07,5,+05100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET076SPECI EBWM 150831Z 02003KT 8000 FEW014 BKN170 14/11 Q1021 BLU BLU TEMPO GRN;",
"06450599999","2010-06-15T08:34:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","020,1,N,0021,1","22000,1,9,N","007000,1,N,1","+0140,1","+0110,1","99999,9","04,5,+00420,1,99,9","07,1,+02100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET075SPECI EBWM 150834Z 02004KT 7000 SCT014 BKN70 14/11 Q1021 GRN GRN BECMG WHT;",
"06450599999","2010-06-15T09:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0015,1","05400,1,C,N","007000,1,N,1","+0140,1","+0110,1","99999,9","04,5,+00420,1,99,9","07,5,+05400,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET076METAR EBWM 150855Z 04003KT 7000 SCT014 BKN180 14/11 Q1022 GRN GRN BECMG WHT;",
"06450599999","2010-06-15T09:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","030,1,N,0026,1","05700,1,C,N","005000,1,N,1","+0130,1","+0110,1","99999,9","04,5,+00390,1,99,9","07,5,+05700,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET079METAR EBWM 150925Z 03005KT 5000 BR SCT013 BKN190 13/11 Q1022 GRN GRN BECMG GRN;",
"06450599999","2010-06-15T09:49:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","030,1,N,0021,1","00390,1,C,N","005000,1,N,1","+0130,1","+0100,1","99999,9","02,5,+00150,1,99,9","04,5,+00390,1,99,9","07,5,+05700,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET086SPECI EBWM 150949Z 03004KT 5000 BR FEW005 SCT013 BKN190 13/10 Q1022 GRN GRN TEMPO YLO;",
"06450599999","2010-06-15T10:13:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","020,1,N,0021,1","00390,1,C,N","005000,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00390,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET079SPECI EBWM 151013Z 02004KT 5000 BR SCT005 BKN013 12/10 Q1022 YLO GRN TEMPO YLO;",
"06450599999","2010-06-15T10:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0015,1","00360,1,C,N","004800,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00360,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9","10,1",,,"MET079METAR EBWM 151025Z 04003KT 4800 BR SCT005 BKN012 12/10 Q1022 YLO GRN TEMPO YLO;",
"06450599999","2010-06-15T11:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","030,1,N,0021,1","00210,1,C,N","005000,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00210,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","10,1",,,"MET079METAR EBWM 151055Z 03004KT 5000 BR SCT005 BKN007 12/10 Q1021 YLO GRN TEMPO YLO;",
"06450599999","2010-06-15T11:09:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","030,1,N,0026,1","00210,1,C,N","005000,1,N,1","+0120,1","+0100,1","99999,9","02,5,+00150,1,99,9","07,5,+00210,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","10,1",,,"MET079SPECI EBWM 151109Z 03005KT 5000 BR FEW005 BKN007 12/10 Q1021 GRN GRN BECMG WHT;",
"06450599999","2010-06-15T12:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0041,1","00450,1,C,N","009000,1,N,1","+0140,1","+0100,1","99999,9","02,5,+00300,1,99,9","04,5,+00450,1,99,9","07,5,+05700,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET083METAR EBWM 151156Z 04008KT 9000 FEW010 SCT015 BKN190 14/10 Q1021 WHT WHT TEMPO BLU;",
"06450599999","2010-06-15T12:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0026,1","05700,1,C,N","011265,1,N,1","+0150,1","+0100,1","99999,9","02,5,+00450,1,99,9","07,5,+05700,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET066METAR EBWM 151225Z 04005KT 9999 FEW015 BKN190 15/10 Q1022 BLU BLU;",
"06450599999","2010-06-15T13:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0036,1","00750,1,C,N","011265,1,N,1","+0160,1","+0100,1","99999,9","02,5,+00570,1,99,9","04,5,+00750,1,99,9","07,5,+05700,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET073METAR EBWM 151255Z 04007KT 9999 FEW019 SCT025 BKN190 16/10 Q1022 BLU BLU;",
"06450599999","2010-06-15T13:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0031,1","99999,9,C,N","011265,1,N,1","+0160,1","+0100,1","99999,9","02,5,+00660,1,99,9","04,5,+00900,1,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET066METAR EBWM 151325Z 04006KT 9999 FEW022 SCT030 16/10 Q1022 BLU BLU;","P01 009003SCOCIG"
"06450599999","2010-06-15T14:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0031,1","99999,9,C,N","011265,1,N,1","+0160,1","+0090,1","99999,9","02,5,+00750,1,99,9","04,5,+00960,1,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET066METAR EBWM 151355Z 04006KT 9999 FEW025 SCT032 16/09 Q1022 BLU BLU;","P01 009603SCOCIG"
"06450599999","2010-06-15T14:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0041,1","06000,5,9,N","999999,9,N,1","+0160,1","+0090,1","99999,9","04,5,+01200,5,99,9","07,5,+06000,5,99,9",,,"10210,1,99999,9",,,,"MET061METAR EBWM 151425Z 04008KT SCT040 BKN200 16/09 Q1021 BLU BLU;",
"06450599999","2010-06-15T15:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0036,1","99999,9,C,N","011265,1,N,1","+0160,1","+0090,1","99999,9","02,5,+00900,1,99,9","04,5,+06000,1,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,"0087,1","MET077METAR EBWM 151525Z 04007G17KT 9999 FEW030 SCT200 16/09 Q1021 BLU FCST CANCEL;","P01 060003SCOCIG"
"06450599999","2010-06-16T07:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0041,1","22000,1,9,N","011265,1,N,1","+0110,1","+0070,1","99999,9","04,5,+06300,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,,"MET059METAR EBWM 160655Z 05008KT 9999 SCT210 11/07 Q1020 BLU BLU;",
"06450599999","2010-06-16T07:27:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0041,1","22000,1,9,N","011265,1,N,1","+0120,1","+0070,1","99999,9","04,5,+06300,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET059METAR EBWM 160727Z 04008KT 9999 SCT210 12/07 Q1019 BLU BLU;",
"06450599999","2010-06-16T08:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0036,1","99999,9,C,N","011265,1,N,1","+0130,1","+0070,1","99999,9","02,5,+00990,1,99,9","04,5,+06300,1,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET066METAR EBWM 160755Z 05007KT 9999 FEW033 SCT210 13/07 Q1019 BLU BLU;","P01 063003SCOCIG"
"06450599999","2010-06-16T08:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0041,1","06300,5,9,N","999999,9,N,1","+0140,1","+0070,1","99999,9","02,5,+00780,5,99,9","07,5,+06300,5,99,9",,,"10190,1,99999,9",,,,"MET061METAR EBWM 160825Z 04008KT FEW026 BKN210 14/07 Q1019 BLU BLU;",
"06450599999","2010-06-16T09:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0150,1","+0050,1","99999,9","07,5,+05400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,"0129,1","MET062METAR EBWM 160855Z 04010G25KT 9999 BKN180 15/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T09:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0150,1","+0050,1","99999,9","02,5,+03600,1,99,9","07,5,+05400,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET066METAR EBWM 160925Z 05010KT 9999 FEW120 BKN180 15/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T10:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0041,1","05100,5,9,N","999999,9,N,1","+0150,1","+0050,1","99999,9","07,5,+05100,5,99,9",,,,"10190,1,99999,9",,,"0098,1","MET057METAR EBWM 160955Z 04008G19KT BKN170 15/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T10:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0041,1","05700,1,C,N","011265,1,N,1","+0160,1","+0050,1","99999,9","07,5,+05700,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET059METAR EBWM 161025Z 05008KT 9999 BKN190 16/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T11:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","06000,1,C,N","011265,1,N,1","+0160,1","+0040,1","99999,9","07,5,+06000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET059METAR EBWM 161055Z 05010KT 9999 BKN200 16/04 Q1019 BLU BLU;",
"06450599999","2010-06-16T11:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0170,1","+0050,1","99999,9","07,5,+05400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,"0123,1","MET062METAR EBWM 161125Z 04010G24KT 9999 BKN180 17/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T12:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0170,1","+0050,1","99999,9","07,5,+05400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,"0103,1","MET062METAR EBWM 161155Z 04010G20KT 9999 BKN180 17/05 Q1019 BLU BLU;",
"06450599999","2010-06-16T12:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","06000,1,C,N","011265,1,N,1","+0180,1","+0040,1","99999,9","07,5,+06000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,"0103,1","MET062METAR EBWM 161225Z 05010G20KT 9999 BKN200 18/04 Q1018 BLU BLU;",
"06450599999","2010-06-16T13:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","06000,1,C,N","011265,1,N,1","+0180,1","+0040,1","99999,9","07,5,+06000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,"0108,1","MET062METAR EBWM 161255Z 05010G21KT 9999 BKN200 18/04 Q1018 BLU BLU;",
"06450599999","2010-06-16T13:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","06000,1,C,N","011265,1,N,1","+0190,1","+0040,1","99999,9","07,5,+06000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,,"MET059METAR EBWM 161325Z 05010KT 9999 BKN200 19/04 Q1018 BLU BLU;",
"06450599999","2010-06-16T14:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0051,1","06300,1,C,N","011265,1,N,1","+0190,1","+0040,1","99999,9","07,5,+06300,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,"0108,1","MET062METAR EBWM 161355Z 04010G21KT 9999 BKN210 19/04 Q1018 BLU BLU;",
"06450599999","2010-06-16T14:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0190,1","+0030,1","99999,9","07,5,+05400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,"0118,1","MET062METAR EBWM 161425Z 05010G23KT 9999 BKN180 19/03 Q1018 BLU BLU;",
"06450599999","2010-06-16T15:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0051,1","05400,1,C,N","011265,1,N,1","+0190,1","+0030,1","99999,9","07,5,+05400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,,"MET059METAR EBWM 161456Z 04010KT 9999 BKN180 19/03 Q1018 BLU BLU;",
"06450599999","2010-06-16T15:17:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","040,1,N,0051,1","06000,1,C,N","011265,1,N,1","+0190,1","+0030,1","99999,9","07,5,+06000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9",,,,"MET059SPECI EBWM 161517Z 04010KT 9999 BKN200 19/03 Q1018 BLU BLU;",
"06450599999","2010-06-17T09:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0031,1","01650,5,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","02,5,+00540,1,99,9","07,5,+01650,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","80,1",,,"MET082METAR EBWM 170855Z 05006KT 9999 -SHRA FEW018 BKN055 12/09 Q1017 BLU BLU BECMG WHT;",
"06450599999","2010-06-17T09:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0036,1","01050,1,C,N","009000,1,N,1","+0120,1","+0090,1","99999,9","02,5,+00660,1,99,9","04,5,+01050,1,99,9","07,5,+01500,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","80,1",,,"MET089METAR EBWM 170925Z 05007KT 9000 -SHRA FEW022 SCT035 BKN050 12/09 Q1017 BLU BLU BECMG WHT;",
"06450599999","2010-06-17T10:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0041,1","00960,1,C,N","008000,1,N,1","+0110,1","+0090,1","99999,9","04,5,+00690,1,99,9","07,5,+00960,1,99,9","07,5,+01110,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","80,1",,,"MET089SPECI EBWM 170958Z 05008KT 8000 -SHRA SCT023 BKN032 BKN037 11/09 Q1017 WHT WHT TEMPO GRN;",
"06450599999","2010-06-17T10:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0041,1","00810,1,C,N","007000,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00450,1,99,9","07,5,+00810,1,99,9","07,5,+00990,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","81,1",,,"MET088METAR EBWM 171025Z 05008KT 7000 SHRA FEW015 BKN027 BKN033 11/10 Q1017 WHT WHT TEMPO GRN;",
"06450599999","2010-06-17T10:29:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","040,1,N,0041,1","00840,1,C,N","006000,1,N,1","+0100,1","+0100,1","99999,9","04,5,+00390,1,99,9","07,5,+00840,1,99,9","07,5,+00990,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","81,1",,,"MET088SPECI EBWM 171029Z 04008KT 6000 SHRA SCT013 BKN028 BKN033 10/10 Q1017 GRN GRN TEMPO YLO;",
"06450599999","2010-06-17T11:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","040,1,N,0046,1","00300,1,C,N","006000,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00180,1,99,9","04,5,+00300,1,99,9","07,5,+00900,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET083METAR EBWM 171055Z 04009KT 6000 FEW006 SCT010 BKN030 11/10 Q1017 GRN GRN TEMPO YLO;",
"06450599999","2010-06-17T11:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0046,1","00690,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00180,1,99,9","04,5,+00690,1,99,9","07,5,+00960,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET083METAR EBWM 171125Z 05009KT 9999 FEW006 SCT023 BKN032 11/10 Q1017 WHT WHT TEMPO GRN;",
"06450599999","2010-06-17T11:43:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","040,1,N,0036,1","00360,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00210,1,99,9","04,5,+00360,1,99,9","07,5,+01080,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET083SPECI EBWM 171143Z 04007KT 9999 FEW007 SCT012 BKN036 11/10 Q1017 GRN GRN TEMPO YLO;",
"06450599999","2010-06-17T12:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0036,1","00450,1,C,N","011265,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00330,1,99,9","07,5,+00450,1,99,9","07,5,+00660,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET083METAR EBWM 171155Z 05007KT 9999 SCT011 BKN015 BKN022 12/10 Q1017 GRN GRN TEMPO YLO;",
"06450599999","2010-06-17T12:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","050,1,N,0036,1","00330,1,C,N","011265,1,N,1","+0120,1","+0100,1","99999,9","07,5,+00330,1,99,9","07,5,+00450,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET076METAR EBWM 171225Z 05007KT 9999 BKN011 BKN015 12/10 Q1017 GRN GRN TEMPO YLO;",
"06450599999","2010-06-17T12:51:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-16","EBWM ","V020","050,1,N,0046,1","00330,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","08,5,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9",,,,"MET067SPECI EBWM 171251Z 05009KT 9999 OVC011 11/09 Q1017 GRN FCST CANCEL;",
"06450599999","2010-06-18T07:00:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","030,1,N,0010,1","22000,1,9,N","006000,1,N,1","+0130,1","+0100,1","99999,9","02,5,+00210,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10159,1,99999,9",,,,"MET069METAR EBWM 180655Z 03002KT 6000 FEW007 13/10 Q1016 WHT WHT BECMG BLU;",
"06450599999","2010-06-18T07:25:00","4","50.8833333","4.5166666","58.0","BRUSSELLS MIL, BE","FM-15","EBWM ","V020","240,1,N,0010,1","22000,1,9,N","006000,1,N,1","+0140,1","+0100,1","99999,9","02,5,+00210,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10149,1,99999,9",,,,"MET069METAR EBWM 180725Z 24002KT 6000 FEW007 14/10 Q1015 WHT WHT BECMG BLU;",
